;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - COMPLETE50;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-w-NC(No,x,Unit);2,429402;0,550286;0,212288;0,228611;0,147076;0,109459;
RSearch-w-NC(No,x,Pmin);0,749521;5,925061;8,813469;1,549348;12,198817;7,604698;
RSearch-w-NC(No,x,Dmin);0,076243;0,048093;0,040403;0,010215;0,007021;0,043440;
RSearch-w-NC(Unit,x,No);0,021469;0,142775;0,072309;0,019976;0,045264;0,036277;
RSearch-w-NC(Unit,x,Unit);4,108898;0,731672;0,142589;0,173538;0,073162;0,062334;
RSearch-w-NC(Unit,x,Pmin);0,021469;0,142775;0,072309;0,019976;0,045264;0,036277;
RSearch-w-NC(Unit,x,Dmin);310,252272;18,387119;13,966348;0,001832;12,569380;11,331583;
RSearch-w-NC(Pmin,x,No);0,739270;5,889140;8,813469;3,058505;12,198817;7,604698;
RSearch-w-NC(Pmin,x,Unit);2,429402;0,550286;0,212288;0,228611;0,147076;0,109459;
RSearch-w-NC(Pmin,x,Pmin);0,749521;5,925061;8,813469;1,549348;12,198817;7,604698;
RSearch-w-NC(Pmin,x,Dmin);0,076243;0,048093;0,040403;0,010215;0,007021;0,043440;
RSearch-w-NC(Dmin,x,No);2,477000;4,900788;8,776136;6,958017;5,428034;11,689082;
RSearch-w-NC(Dmin,x,Unit);2,429402;0,550286;0,212288;0,228611;0,147076;0,109459;
RSearch-w-NC(Dmin,x,Pmin);2,477000;4,900788;10,408268;4,319544;5,428034;9,803018;
RSearch-w-NC(Dmin,x,Dmin);0,050875;0,037000;0,017529;0,023520;0,035094;0,023184;
RSearch-w-Vaw(No,+,No);9,900337;7,385127;13,080292;2,881013;7,909323;4,213806;
RSearch-w-Vaw(No,+,Unit);309,373418;18,299559;0,005517;0,004312;0,022667;1,391541;
RSearch-w-Vaw(No,+,Pmin);42,293429;11,878275;10,413499;1,038716;0,427530;0,982527;
RSearch-w-Vaw(No,+,Dmin);9,900337;7,385127;13,080292;2,881013;7,909323;4,213806;
RSearch-w-Vaw(Unit,+,No);8,843172;14,182170;9,272967;6,723639;5,212573;5,151170;
RSearch-w-Vaw(Unit,+,Unit);6,705422;2,439786;2,367669;1,598581;1,864957;0,741412;
RSearch-w-Vaw(Unit,+,Pmin);0,988987;19,582598;13,461295;8,966406;10,128520;8,007364;
RSearch-w-Vaw(Unit,+,Dmin);8,843172;14,182170;9,272967;6,723639;5,212573;5,151170;
RSearch-w-Vaw(Pmin,+,No);9,875324;4,874251;11,127990;6,206159;4,923400;4,016035;
RSearch-w-Vaw(Pmin,+,Unit);309,373418;18,303095;0,005517;0,004312;0,022667;1,389192;
RSearch-w-Vaw(Pmin,+,Pmin);35,001774;3,118935;43,292608;1,340355;0,797737;1,498533;
RSearch-w-Vaw(Pmin,+,Dmin);9,875324;4,874251;11,127990;6,206159;4,923400;4,016035;
RSearch-w-Vaw(Dmin,+,No);9,900337;7,385127;13,080292;2,881013;7,909323;4,213806;
RSearch-w-Vaw(Dmin,+,Unit);309,373418;18,299559;0,005517;0,004312;0,022667;1,391541;
