;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - ISLANDS;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-w-NC(Pmin,x,Unit);282,283069;87,027941;57,402175;45,022676;39,986090;37,516710;
RSearch-w-NC(Pmin,x,Pmin);1.302,655851;490,327843;302,890295;162,732115;144,392236;118,866134;
RSearch-w-NC(Pmin,x,Dmin);315,040339;110,986491;89,383683;73,412602;68,514178;64,968374;
RSearch-w-NC(Dmin,x,No);1.547,325996;576,842970;271,280323;152,855478;100,406769;90,593002;
RSearch-w-NC(Dmin,x,Unit);282,283069;87,027941;57,402175;45,022676;39,986090;37,516710;
RSearch-w-NC(Dmin,x,Pmin);1.547,325996;576,842970;271,280323;152,855478;100,406769;90,593002;
RSearch-w-NC(Dmin,x,Dmin);427,532058;108,314606;62,106586;49,565752;44,514602;42,203430;
RSearch-w-Vaw(No,+,No);203,798239;100,016875;75,056996;60,687086;48,713100;45,246590;
RSearch-w-Vaw(No,+,Unit);2.183,938095;876,463249;612,426572;453,994270;314,691402;239,179763;
RSearch-w-Vaw(No,+,Pmin);1.548,578376;674,872950;403,609933;313,139759;242,713621;167,343227;
RSearch-w-Vaw(No,+,Dmin);203,798239;100,016875;75,056996;60,687086;48,713100;45,246590;
RSearch-w-Vaw(Unit,+,No);204,168502;103,184071;76,792698;63,580349;53,019765;50,535781;
RSearch-w-Vaw(Unit,+,Unit);2.211,927032;916,897234;573,942048;285,507239;267,691919;42,001733;
RSearch-w-Vaw(Unit,+,Pmin);1.186,076941;575,619173;412,954014;291,357107;262,688197;246,403937;
RSearch-w-Vaw(Unit,+,Dmin);204,168502;103,184071;76,792698;63,580349;53,019765;50,535781;
RSearch-w-Vaw(Pmin,+,No);204,168502;102,004942;76,073644;64,431670;55,477739;51,029143;
RSearch-w-Vaw(Pmin,+,Unit);2.139,515277;797,678751;565,180564;329,334264;177,790276;89,304817;
RSearch-w-Vaw(Pmin,+,Pmin);1.206,061426;532,660367;342,199589;275,019732;218,267415;165,642730;
RSearch-w-Vaw(Pmin,+,Dmin);204,168502;102,004942;76,073644;64,431670;55,477739;51,029143;
RSearch-w-Vaw(Dmin,+,No);203,798239;100,016875;75,056996;60,687086;48,713100;45,246590;
RSearch-w-Vaw(Dmin,+,Unit);2.183,938095;876,463249;612,426572;453,994270;314,691402;239,179763;
RSearch-w-Vaw(Dmin,+,Pmin);1.548,578376;674,872950;420,687436;313,139759;242,713150;167,343227;
RSearch-w-Vaw(Dmin,+,Dmin);203,798239;100,016875;75,056996;60,687086;48,713100;45,246590;
RSearch-w-Vaw(No,x,No);1.278,136627;510,777459;332,885666;304,015160;202,619168;170,575417;
RSearch-w-Vaw(No,x,Unit);205,879198;104,091533;76,300777;63,385129;54,701174;48,754057;
RSearch-w-Vaw(No,x,Pmin);1.278,136627;534,388167;342,345373;302,627389;205,477795;170,574831;
RSearch-w-Vaw(No,x,Dmin);204,168502;102,004942;75,407964;64,464936;55,362320;51,443548;
RSearch-w-Vaw(Unit,x,No);1.854,648174;866,884992;609,109227;481,377531;399,072722;324,352206;
RSearch-w-Vaw(Unit,x,Unit);268,373913;61,125447;33,012189;22,291959;16,738794;13,421800;
RSearch-w-Vaw(Unit,x,Pmin);1.854,648174;866,884992;609,109227;481,377531;399,072722;324,352206;
RSearch-w-Vaw(Unit,x,Dmin);2.183,942655;876,369855;621,525140;463,061676;371,847522;307,682029;
RSearch-w-Vaw(Pmin,x,No);1.278,136627;510,771606;332,885666;304,015160;202,619168;170,575417;
RSearch-w-Vaw(Pmin,x,Unit);205,879198;104,091533;76,300777;63,385129;54,701174;48,754057;
RSearch-w-Vaw(Pmin,x,Pmin);1.278,136627;534,388167;342,345373;302,633519;210,557820;169,037770;
RSearch-w-Vaw(Pmin,x,Dmin);204,168502;102,004942;75,407964;64,464936;55,362320;51,443548;
RSearch-w-Vaw(Dmin,x,No);1.611,355466;656,647711;474,288323;337,103352;246,194660;217,347461;
RSearch-w-Vaw(Dmin,x,Unit);205,879198;104,091533;76,300777;63,385129;54,701174;48,754057;
RSearch-w-Vaw(Dmin,x,Pmin);1.611,355466;656,647711;474,288323;337,103352;246,194660;217,347461;
RSearch-w-Vaw(Dmin,x,Dmin);203,798239;100,981108;75,801209;62,593709;54,932513;50,024759;


QMI - StdDev
;1;4;7;10;13;16;
RSearch-NCount;2,062858;0,955663;1,043985;1,399768;1,027749;1,389450;
RSearch-Vaw;2,959161;0,665870;0,734950;0,454838;0,959899;0,910490;
RSearch-LRTA*-unit;2,575013;0,652421;0,152347;0,153778;0,123000;0,121372;
RSearch-Full-LRTA*;1,098792;0,516004;0,712128;0,340268;0,221861;0,198363;
RSearch-w-NC(No,+,No);1,398733;1,216808;0,794520;2,391461;2,258268;1,145583;
RSearch-w-NC(No,+,Unit);187,258810;64,475171;24,894901;62,523188;47,399158;67,244678;
RSearch-w-NC(No,+,Pmin);29,951396;32,067700;41,166079;10,302488;16,705966;8,417622;
RSearch-w-NC(No,+,Dmin);1,398733;1,216808;0,794520;2,391461;2,258268;1,145583;
RSearch-w-NC(Unit,+,No);2,185833;0,870149;1,353774;1,536231;1,289435;1,914138;
RSearch-w-NC(Unit,+,Unit);127,036113;106,610740;102,710426;56,235600;65,719871;45,103291;
RSearch-w-NC(Unit,+,Pmin);25,245589;32,641252;28,030529;93,409450;109,569334;83,392111;
RSearch-w-NC(Unit,+,Dmin);2,185833;0,870149;1,353774;1,536231;1,289435;1,914138;
RSearch-w-NC(Pmin,+,No);1,488134;1,235667;4,211826;7,131022;3,340901;2,604488;
RSearch-w-NC(Pmin,+,Unit);223,698023;90,350642;36,905411;54,948567;79,165724;33,688351;
RSearch-w-NC(Pmin,+,Pmin);45,411155;57,199745;33,091773;89,751958;42,292458;85,311948;
RSearch-w-NC(Pmin,+,Dmin);1,259512;0,928866;3,774538;7,481819;3,216252;2,305665;
RSearch-w-NC(Dmin,+,No);1,398733;1,216808;0,794520;2,391461;2,258268;1,145583;
RSearch-w-NC(Dmin,+,Unit);187,258810;64,475171;24,894901;62,523188;47,399158;67,244678;
RSearch-w-NC(Dmin,+,Pmin);29,815725;38,736573;42,027985;9,480107;18,800895;11,211195;
RSearch-w-NC(Dmin,+,Dmin);1,398733;1,216808;0,794520;2,391461;2,258268;1,145583;
RSearch-w-NC(No,x,No);35,485946;14,591708;27,798178;66,576538;50,550709;28,102644;
RSearch-w-NC(No,x,Unit);1,378183;1,306454;0,848960;1,447560;0,846700;1,750765;
RSearch-w-NC(No,x,Pmin);50,538621;41,154437;55,982551;43,469516;47,657022;55,733673;
RSearch-w-NC(No,x,Dmin);1,371340;2,377430;6,323828;1,839036;6,557574;2,443923;
RSearch-w-NC(Unit,x,No);0,570300;69,035674;34,321737;22,210790;23,222014;17,919839;
RSearch-w-NC(Unit,x,Unit);1,905490;0,535428;0,171298;0,183750;0,069261;0,046356;
RSearch-w-NC(Unit,x,Pmin);0,570300;69,035674;34,321737;22,210790;23,222014;17,919839;
RSearch-w-NC(Unit,x,Dmin);199,369750;55,938890;22,525210;27,719361;16,860664;14,061032;
RSearch-w-NC(Pmin,x,No);37,094685;20,544606;31,691365;56,463539;44,119742;45,835298;
