;EXPER-FINAL-ALTERNATIVO-1-50000-LARS2019-LRTA - MAPA;

Max Interval - Mean
;1;4;7;10;13;16;
RSearch-w-Vaw(Pmin,+,No);258,642990;130,909447;97,813353;83,985977;72,314203;65,422415;
RSearch-w-Vaw(Pmin,+,Unit);1.612,316309;765,881059;570,856136;464,556276;398,007329;354,925855;
RSearch-w-Vaw(Pmin,+,Pmin);1.238,190529;543,677594;342,933056;275,728794;257,154487;204,798329;
RSearch-w-Vaw(Pmin,+,Dmin);258,642990;130,695605;97,813353;84,301269;72,314203;65,422415;
RSearch-w-Vaw(Dmin,+,No);262,478574;130,604486;100,252067;80,107319;68,418582;65,168226;
RSearch-w-Vaw(Dmin,+,Unit);1.755,860661;862,478034;613,671797;488,975087;436,391818;362,524813;
RSearch-w-Vaw(Dmin,+,Pmin);1.473,086609;648,737752;440,160168;358,461805;313,341666;256,150520;
RSearch-w-Vaw(Dmin,+,Dmin);262,478574;130,604486;100,252067;80,107319;68,418582;65,168226;
RSearch-w-Vaw(No,x,No);1.173,185507;489,355641;368,510464;315,629190;267,186470;214,875976;
RSearch-w-Vaw(No,x,Unit);272,488010;136,928741;97,156821;82,069498;73,935656;62,877184;
RSearch-w-Vaw(No,x,Pmin);1.173,185507;512,796860;368,510464;313,999161;267,186470;214,875244;
RSearch-w-Vaw(No,x,Dmin);258,642990;130,113077;97,636478;80,485327;74,554275;63,814164;
RSearch-w-Vaw(Unit,x,No);2.060,573473;906,088994;658,527240;532,400269;454,669984;400,887124;
RSearch-w-Vaw(Unit,x,Unit);294,705523;73,201143;41,762620;29,456077;22,918760;18,827184;
RSearch-w-Vaw(Unit,x,Pmin);2.060,573473;906,088994;658,527240;532,400269;454,669984;400,887124;
RSearch-w-Vaw(Unit,x,Dmin);1.934,961994;870,846544;627,504329;501,538176;439,758862;384,330300;
RSearch-w-Vaw(Pmin,x,No);1.173,185507;489,355641;368,510464;315,629190;267,186470;214,875976;
RSearch-w-Vaw(Pmin,x,Unit);272,488010;136,928741;97,156821;82,069498;73,935656;62,877184;
RSearch-w-Vaw(Pmin,x,Pmin);1.173,185507;512,796860;373,171741;315,646519;258,394634;214,860207;
RSearch-w-Vaw(Pmin,x,Dmin);258,642990;130,113077;97,636478;80,485327;74,554275;63,814164;
RSearch-w-Vaw(Dmin,x,No);1.452,247027;701,357290;449,250531;346,508322;322,155488;284,147691;
RSearch-w-Vaw(Dmin,x,Unit);272,488010;136,928741;97,156821;82,069498;73,935656;62,877184;
RSearch-w-Vaw(Dmin,x,Pmin);1.452,247027;685,588617;449,250531;347,335694;322,155905;284,146583;
RSearch-w-Vaw(Dmin,x,Dmin);251,959827;127,758967;91,530107;79,905356;71,354495;65,543274;


QMI - StdDev
;1;4;7;10;13;16;
RSearch-NCount;1,398782;0,449729;0,382374;0,262646;0,547070;0,201599;
RSearch-Vaw;9,850570;4,287083;5,263051;1,885463;8,328247;4,010509;
RSearch-LRTA*-unit;1,669282;0,285133;0,110597;0,093914;0,105952;0,098525;
RSearch-Full-LRTA*;0,898588;0,427110;0,467834;0,237584;0,250561;0,149959;
RSearch-w-NC(No,+,No);0,675498;0,394731;0,135757;0,261460;0,440563;0,725266;
RSearch-w-NC(No,+,Unit);169,936843;6,467803;25,001441;8,711769;15,775655;7,371873;
RSearch-w-NC(No,+,Pmin);21,173232;22,088638;21,093201;28,909543;28,652330;14,965252;
RSearch-w-NC(No,+,Dmin);0,675498;0,394731;0,135757;0,261460;0,440563;0,725266;
